IDEN;Density_gPcm3;Hue;Value;Chroma;Alox_mgPkg;Caox_mgPkg;Feox_mgPkg;Mnox_mgPkg;Pox_mgPkg;Siox_mgPkg
613;0.946666666666667;2.5Y;6;2;2981.49433923077;13.9643581634615;8562.33981346154;308.937649826923;464.596139038462;1003.42748961538
614;0.71;2.5Y;6;2;2769.27366146667;19.419279138;8652.024923;381.1907756;455.257999;813.45273
617;0.926666666666667;2.5Y;6;2;2643.75108693333;18.886046374;5805.361187;210.25452396;596.8383618;1023.9398866
618;0.706666666666667;2.5Y;5;3;2434.85749371795;19.4034257192308;2775.78380971154;207.747078019231;407.246420192308;398.502031346154
619;0.893333333333333;2.5Y;6;2;2397.19462013072;16.5582466882353;4157.45863333333;156.046712529412;490.439292745098;1156.11396705882
622;0.98;;;;;;;;;
624;0.78;2.5Y;6;2;3279.6995901282;19.3885185;9337.87950961538;306.145902730769;499.530143269231;654.971960576923
627;1.01;2.5Y;5;2;1079.03753694444;10.185417886875;1708.29611291667;63.1395315416667;503.415779791667;211.971696166667
628;1.00333333333333;2.5Y;6;2;1590.58916875;25.7604333791667;3765.75454041667;61.4370961041667;526.461272916667;535.873009166667
629;1.09;;;;;;;;;
631;1.01666666666667;2.5Y;6;2;3010.20444857143;19.1767908816327;10399.6811989796;340.198696979592;664.823353061225;809.723821836735
633;0.993333333333333;2.5Y;5;2;3328.60151746667;31.043246786;3293.5436369;168.1520307;659.5394954;421.3053242
634;0.99;;;;;;;;;
638;0.996666666666667;2.5Y;5;3;2347.97420326797;29.0048535313725;3868.64675911765;384.019596313726;405.011375294118;359.384613294118
639;1.02666666666667;2.5Y;5;3;1205.29641830065;12.7869104603922;3266.18422696078;375.979767235294;455.791115294118;296.674129235294
640;1.06;2.5Y;6;3;1246.518765;13.6167680805769;3593.37147375;167.737639038462;394.912510769231;460.594757884615
641;0.986666666666667;2.5Y;5;3;1117.88228826667;8.31536234;3924.2320018;318.45016048;531.3347112;270.90387316
642;1.03333333333333;2.5Y;6;2;2649.54139176471;14.0940372972549;6380.66474901961;351.253478058824;484.749738039216;747.754583921569
643;1.12;;5;2;746.306299102564;14.3245672605769;2183.41705980769;130.732698307692;363.915208442308;282.609982384615
644;0.956666666666667;2.5Y;6;2;2619.45320426667;11.5635643304;4962.266528;123.32760804;763.4166674;1136.0356072
645;1.04666666666667;2.5Y;6;2;1313.9042616;17.166420924;2300.0182653;100.16475904;335.1523312;417.854905
646;;;6;2;2489.22104375;18.5452138125;7595.31348333333;583.009426458333;730.580049583333;701.043197083333
647;0.933333333333333;2.5Y;6;2;2638.39116865248;17.9712476212766;8859.25705638298;426.40867706383;475.362128085106;807.049340638298
648;0.926666666666667;2.5Y;5;3;2109.7186724;13.4059047148;6193.250045;270.94595414;465.27517;540.7346826
649;0.853333333333333;2.5Y;5;3;1161.91189115151;8.91412529018182;4348.26082181818;351.456229454545;336.291851818182;328.241115581818
