IDEN;IDEN.2;;Method;Texture;;Sable;Limon;Argile;Argile Catherine;Limon grossier;Limon moyen;Limon fin;1-2 mm;0.5-1.0 mm;0.25-0.5 mm;0.1-0.25 mm;0.05-0.01 mm;Sable fractionnement
203;203;21;2;Sable loameux;;77,9;15,5;6,6;;4,8;8,9;1,8;0,668929712;5,181709265;36,11222045;36,29193291;6,87899361;85,13378594
204;204;22;2;Sable loameux;;81,3;13,5;5,2;;3,3;7,1;3,2;0,729854029;6,00879824;33,84323135;37,65246951;7,4985003;85,73285343
205;205;23;2;Loam sableux;;62,4;31,6;6;;12,2;10,7;8,7;0,24;3,07;28,3;41,14;9,88;82,63
206;206;24;2;Sable loameux;;84;14;2;;0,7;8,9;4,4;1,14;8,26;36,52;35,42;5,8;87,13
207;207;25;2;Sable loameux;;82,7;11,7;5,6;;2;8,9;0,8;0,99;1,86;7,04;31,43;21,25;62,57
208;208;26;2;Sable loameux;;82,7;11,7;5,6;;1,8;6,2;3,7;8,77;20,95;26,2;25,94;5,48;87,34
209;209;27;2;Sable loameux;;85,3;11,5;3,2;;2,3;7,1;2,1;3,72;17,78;34,1;26,37;5,22;87,18
210;210;28;2;Sable loameux;;83,3;11,5;5,2;;3,3;7,1;1,2;3,83;16,65;30,85;31,61;5,39;88,33
211;211;29;2;Sable loameux;;84,7;11,2;4,1;;1,8;5,3;4,1;11,1;27,3;25,61;16,26;4,07;84,35
212;212;30;2;Sable loameux;;83,3;13,9;2,8;;3,1;4,4;6,5;11,08;21,48;25,72;14,81;3,9;77
213;213;31;2;Sable loameux;;78,5;16,9;4,5;;5,9;5,3;5,8;0,2;0,95;20,36;53,9;12,85;88,26
214;214;32;2;Sable loameux;;75,1;20,4;4,5;;7,5;8;4,9;0,517515924;1,99044586;11,7170913;53,50318471;13,86677282;81,59501062
215;215;33;2;Sable loameux;;78,6;14,4;6,9;;2,1;10,7;1,6;0,452007445;2,020739165;9,744748737;55,72985908;13,71975538;81,66710981
216;216;34;2;Sable loameux;;78,6;14,1;7,3;;1,9;7,1;5,1;0,24;1,13;8,63;45,41;22,38;77,79
217;217;35;2;Sable loameux;;81,9;15,6;2,5;;8,6;5,3;1,7;0,4;2,15;7,99;52,19;17,52;80,25
218;218;36;2;Sable loameux;;80,6;12,7;6,6;;1,9;7,1;3,8;0,26;1,77;14,65;47,4;16,6;80,69
219;219;37;2;Loam limoneux;;32,6;46,4;21;;9;20,1;17,3;0,18;0,83;9,58;53,75;19,62;83,96
220;220;38;2;Sable loameux;;84,5;10,8;4,5;;1,9;7,1;1,8;1,228209192;10,08980454;10,80295827;2,430005283;2,126254622;26,67723191
221;221;39;2;Sable loameux;;79,9;16,8;3,3;;4,6;7,1;5,1;1,408263584;10,28298127;10,09698419;2,231964926;1,95296931;25,97316328
222;222;40;2;Sable loameux;;84;12,4;3,6;;6,4;5,3;0,6;1,15;4,2;17,45;62,32;5,77;90,88
223;223;41;2;Sable loameux;;82,5;15,9;1,6;;9,9;4,4;1,6;0,37;3,6;25,59;41,16;9,26;79,98
224;224;42;2;Loam sableux;;60,6;36,8;2,6;;24,2;10,7;1,9;1,478373789;10,48846269;27,93926681;23,71391469;14,56397962;78,1839976
225;225;43;2;Loam sableux;;66,9;31,1;2;;19,8;8,9;2,4;1,483325037;9,556993529;28,34245893;24,50970632;13,54902937;77,44151319
226;226;44;2;Loam sableux;;60,7;38,1;1,2;;24,3;12,5;1,3;0,48;2,26;4,09;15,18;28,97;50,98
227;227;45;2;Loam sableux;;70,3;26,5;3,2;;12,3;8,9;5,2;0,78;5,13;9,42;28,37;24,15;67,85
228;228;46;2;Loam sableux;;58;35,4;6,5;;17,7;13,5;4,2;0,27;0,73;1,27;31,12;29,23;62,62
229;229;47;2;Loam limoneux;;36,5;57;6,5;;21,9;26;9,1;0,98;8,19;27,26;25,62;8,32;70,38
230;230;48;2;Loam sableux;;53,5;35,5;11;;13;14,4;8,1;0,7;5,52;13,82;26,15;10,62;56,81
231;231;49;2;Loam sableux;;65,6;23,8;10,6;;7;11,7;5,2;0,54;2,84;8,48;13,8;8;33,67
232;232;50;2;Loam sableux;;64,2;29,5;6,3;;14,3;8,9;6,3;7,31;17,92;12,39;9,22;5,35;52,19
233;233;51;2;Sable loameux;;84,8;12,6;2,6;;5,6;5,3;1,6;12,21;23,03;14,98;8,07;4,15;62,44
234;234;52;5;Loam sableux;;70,45100578;19,48196941;10,0670248;;7,604083602;9,232723172;2,645162637;0,75;2,9;6,21;33,42;21,19;64,47
234;234;52;2;Sable loameux;;79;17,8;3,2;;7,6;7,1;3,1;1,14;5,16;27,47;32,6;12,5;78,87
234;;52;;;;;;;;;;;;;;;;
235;235;53;2;Loam sableux;;61,1;36,9;2;;19,6;10,8;6,6;15,94403178;27,51770599;14,90758335;6,166868198;3,834859216;68,37104854
236;236;54;2;Loam sableux;;76,2;16,9;6,9;;2,3;8,9;5,7;13,93;27,5;14,99;7,42;4,48;68,31
237;237;55;2;Sable;;92;7,4;0,6;;0,5;5,3;1,6;5,99;14,23;10,33;7,45;9,99;47,98
238;238;56;2;Sable;;88,6;10,4;1;;3,8;4,4;2,2;12,66;16,5;21,95;13,95;2,79;67,85
239;239;57;2;Sable;;90,6;8,2;1,2;;3,7;3,5;0,9;12,13;25,79;26,1;15,71;4,06;83,78
240;240;58;2;Sable;;88,6;10,2;1,2;;3,8;4,4;2;14,07;27,66;23,74;15,05;3,84;84,36
241;241;59;2;Sable;;86,9;11,1;2;;5,5;4,4;1,2;9,99;26,23;23,08;20,28;6,17;85,75
242;242;60;2;Sable loameux;;83;15,3;1,6;;7,6;7,1;0,7;7,59;23,56;25,94;20,96;6,43;84,47
243;243;61;5;Sable loameux;;78,6065715;17,67946341;3,713965093;;10,73274736;5,349345013;1,597371035;8,86;21,17;21,5;19,66;7,75;78,94
