IDEN;M0.75;M5;M120;M420;M1440
2379;55.38865941;40.36800601;27.22493428;21.59218926;16.89823507
2390;20.33730159;12.8968254;6.944444444;5.456349206;3.472222222
2401;12.1004336;9.075325199;4.5376626;4.033477866;3.529293133
2403;9.926543578;7.941234862;4.46694461;3.970617431;3.474290252
2405;8.5;6.5;5;4;3
2423;15.53573218;10.02305302;5.512679162;5.011526511;4.009221209
2425;18.00180018;12.00120012;7.500750075;6.00060006;4.00040004
2427;17.89620203;11.93080135;6.959634122;5.965400676;4.474050507
2445;15.95532509;10.47068209;5.484643;5.484643;3.490227363
2447;18.39331875;11.93080135;6.959634122;5.965400676;4.474050507
2449;16.37392081;10.91594721;6.45033244;4.961794185;3.969435348
2467;61.07328795;30.03604325;11.01321586;8.009611534;6.00720865
2469;59.50132225;30.22289384;12.27805062;7.555723461;4.722327163
2471;61.80344478;28.36879433;11.14488349;8.105369807;6.079027356
2489;56.90298507;35.44776119;15.85820896;11.19402985;6.529850746
2491;65.35310183;44.8692938;34.13968006;11.70503316;6.827936012
2493;65.03298775;42.4128181;17.90763431;10.36757776;6.597549482
2511;15.07386192;9.044317154;5.527082705;4.019696513;3.517234449
2512;15.47678482;9.985022466;5.491762356;3.994008987;3.494757863
2513;13.94422311;8.964143426;4.980079681;3.984063745;3.486055777
2514;16.90090731;12.45330012;7.1161715;5.337128625;4.447607187
2515;20.71563089;15.06591337;8.474576271;7.532956685;5.649717514
2516;21.06371775;14.0424785;7.898894155;5.265929437;4.38827453
2517;12.03610832;9.027081244;5.516549649;5.015045135;3.510531595
2519;12.38604836;9.908838684;5.449861276;3.963535474;2.972651605
2521;13.45425553;10.96272673;6.477974885;4.983057604;3.986446083
2539;14.81557168;11.2393992;6.641463165;5.10881782;4.087054256
2541;14.24081713;10.80337851;6.874877234;5.401689256;3.928501277
2543;14.04640516;11.44521902;7.283321194;5.72260951;3.641660597
2561;12.42544732;8.946322068;4.970178926;3.479125249;2.485089463
2563;13.5;10.5;6;3.5;3
2565;12.5984252;10.49868766;6.299212598;4.199475066;3.149606299
2583;13.39239724;11.33202843;6.181106418;4.120737612;2.575461008
2585;13.80670611;10.84812623;6.903353057;4.437869822;2.958579882
2587;12.83316881;9.871668312;6.416584403;4.44225074;2.961500494
2589;13.42749155;10.94091904;6.465088522;4.475830515;2.486572508
2590;15.40357363;11.80940645;7.18833436;5.647976997;3.59416718
2591;14.96557917;11.97246333;7.981642223;5.487379028;3.491968473
2592;39.46842526;34.97202238;24.98001599;18.48521183;3.497202238
2593;44.87658938;39.26701571;26.17801047;19.63350785;14.02393418
2594;42.75092937;39.03345725;27.88104089;19.51672862;14.86988848
2595;15.84253481;11.52184349;6.24099856;3.840614498;2.400384061
2597;15.60518873;11.2162294;6.827270067;3.901297181;2.925972886
2599;14.85442662;10.39809863;5.941770648;3.466032878;2.47573777
2617;18.59645689;11.25575022;5.872565332;4.404423999;2.936282666
2619;16.13376357;10.75584238;5.866823115;3.91121541;2.444509631
2621;15.96516691;10.64344461;5.805515239;3.386550556;2.418964683
2655;13.78958121;10.2145046;5.617977528;3.064351379;2.553626149
2657;14.54333915;10.18033741;5.81733566;3.393445802;2.423889858
2659;13.45157433;10.96054205;6.974890395;4.483858111;2.989238741
2677;20.82506942;11.90003967;5.950019833;3.470844903;2.479174931
2678;20.47502048;12.28501229;6.142506143;3.583128583;2.559377559
2679;20.80443828;11.88825045;5.448781454;3.46740638;2.476718843
2680;18.41799147;13.57115161;6.785575805;4.362155874;2.908103916
2681;16.98054955;12.34949058;6.689307399;4.116496861;2.572810538
2682;20.17798013;14.48675497;7.243377483;4.139072848;2.58692053
2683;13.72927896;10.67832808;5.593409946;3.559442693;2.542459066
2684;13.8065044;10.22704029;6.136224177;4.090816118;2.556760074
2685;14.11005846;10.07861318;5.543237251;4.031445273;2.519653296
2686;18.69064457;13.63911901;7.577288341;6.061830673;4.546373005
2687;23.30424435;16.36255454;9.916699722;7.933359778;4.462514875
2688;16.46706587;12.4750499;7.984031936;6.986027944;4.491017964
2689;38.47140292;19.23570146;8.335470633;5.12952039;3.205950244
2691;37.07017768;18.53508884;7.03055094;3.834845967;2.556563978
2693;40.02668446;20.01334223;7.338225484;4.669779853;2.66844563
2711;37.53457132;16.46253128;5.92651126;3.951007507;2.634005005
2713;34.45534058;14.57725948;5.300821627;2.650410814;1.98780811
2715;33.95585739;16.32493144;5.876975317;3.917983544;2.61198903
2717;36.1784805;15.40935281;6.029746751;4.019831167;2.679887445
2735;22.72423473;11.36211736;4.678518915;2.67343938;2.005079535
2737;25.87498298;13.61841209;4.766444233;3.404603023;2.723682419
2739;33.77483444;16.55629139;5.960264901;3.973509934;3.311258278
2757;41.9050153;25.27604097;7.981907676;3.990953838;1.995476919
2759;42.92722813;27.93676751;9.539384028;5.451076588;3.406922867
2761;35.69023569;22.22222222;8.754208754;5.387205387;3.367003367
2779;27.09131756;9.911457645;4.625346901;3.303819215;1.982291529
2780;25.77660278;9.914077991;3.965631196;2.643754131;1.982815598
2781;28.10824944;9.805203295;2.614720879;1.961040659;1.307360439
2782;26.66666667;9.333333333;3.333333333;2.666666667;1.333333333
2783;28.70493992;10.01335113;3.337783712;2.670226969;2.002670227
2784;33.54821734;9.867122747;3.946849099;2.631232733;1.973424549
2787;21.83622829;17.36972705;10.42183623;8.436724566;6.947890819
2788;21.2787015;16.82501979;10.39192399;8.412509897;6.927949327
2789;20.78685865;16.73088623;11.15392415;8.618941391;6.590955182
2790;25.04508115;10.01803246;3.50631136;2.504508115;1.502704869
2791;30.01082358;17.71130572;10.82357572;8.855652858;6.887730001
2792;25.19868192;13.56852103;5.815080442;3.876720295;2.907540221
2793;16.54501217;10.70559611;3.892944039;2.919708029;1.946472019
2794;11.47446931;9.083954867;4.781028877;4.30292599;3.346720214
2795;22.17741935;14.61693548;7.560483871;6.048387097;4.536290323
2796;50.83088954;33.23558162;11.73020528;5.865102639;3.910068426
2797;30.81967213;20.32786885;9.836065574;7.868852459;5.245901639
2798;36.15886189;32.00948429;20.74688797;28.45287493;11.85536455
2799;27.59889604;9.856748587;3.942699435;2.62846629;1.314233145
