IDEN;No.inventory;Density_gPcm3;WB_perc;LOI_perc;Cactiv_mgPkg;C_perc;N_perc;S_perc
305;01LEP00559;1.49;;;;0.66062;0.07869;0.00981
306;01LEP00561;1.39;;;;0.57696;0.09032;0.007
307;01LEP00563;1.43;;;;0.56448;0.11486;0.00975
308;01LEP00565;1.36;;;;1.3762;0.11232;0.0149
309;01LEP00567;1.43;;;;0.28852;0.06324;0.00742
310;01LEP00569;1.41;;;;0.46755;0.10835;0.00752
311;01LEP00571;1.47;;;;0.59159;0.08122;0.00887
312;01LEP00573;1.4;;;;1.152;0.12424;0.0145
313;01LEP00575;1.21;;;;0.60323;0.1778;0.0121
314;01LEP00577;1.5;;;;;;
315;01LEP00579;1.51;;;;0.63197;0.10019;0.0181
316;01LEP00581;1.34;;;;1.6586;0.13307;0.021
317;01LEP00583;1.65;;;;0.52552;0.08414;0.0103
318;01LEP00585;1.44;;;;1.313;0.12569;0.0141
319;01LEP00587;1.59;;;;0.40579;0.085;0.00859
320;01LEP00589;1.4;;;;1.025;0.10511;0.0106
321;01LEP00591;1.68;;;;0.37538;0.08793;0.00981
322;01LEP00593;1.6;;;;0.38728;0.08996;0.0131
323;01LEP00595;1.4;;;;0.8258;0.11923;0.0241
324;01LEP00597;1.32;;;;1.4875;0.15343;0.0376
325;01LEP00599;1.51;;;;0.56797;0.09154;0.018
326;01LEP00601;1.31;;;;1.4159;0.13825;0.0261
327;01LEP00603;1.49;;;;0.66464;0.09027;0.015
328;01LEP00605;1.46;;;;1.7808;0.16277;0.0263
329;01LEP00607;1.4;;;;1.3102;0.13822;0.0277
330;01LEP00609;1.22;;;;1.4153;0.18918;0.0247
331;01LEP00611;1.63;;;;1.0364;0.1183;0.0137
332;01LEP00613;1.48;;;;1.1944;0.12863;0.0187
333;01LEP00615;1.53;;;;1.0327;0.11123;0.0103
334;01LEP00617;1.51;;;;1.2435;0.14563;0.019
335;01LEP00619;1.43;;;;1.2941;0.14496;0.0204
336;01LEP00621;1.51;;;;1.0378;0.12607;0.0184
337;01LEP00623;1.51;;;;0.6074;0.09453;0.0123
338;01LEP00625;1.34;;;;0.56304;0.09;0.0107
339;01LEP00627;1.2;;;;1.0493;0.11708;0.0148
340;01LEP00629;1.46;;;;1.238;0.10597;0.0116
341;01LEP00631;1.38;;;;0.43938;0.08776;0.00951
342;01LEP00633;1.47;;;;;;
343;01LEP00635;1.41;;;;0.13945;0.07577;0.00397
344;01LEP00637;1.38;;;;0.07169;0.06868;0.00394
345;01LEP00639;1.43;;;;0.18411;0.07713;0.00436
346;01LEP00641;1.56;;;;0.24858;0.07373;0.00555
347;01LEP00643;1.47;;;;1.7639;0.18067;0.0168
348;01LEP00645;1.39;;;;0.51425;0.12913;0.00874
349;01LEP00647;1.35;;;;0.27797;0.10896;0.00488
350;01LEP00649;1.29;;;;1.065;0.15532;0.0132
351;01LEP00651;1.31;;;;0.52458;0.11526;0.00746
352;01LEP00653;1.35;;;;0.95789;0.10448;0.00855
353;01LEP00655;1.39;;;;0.54147;0.09032;0.0082
354;01LEP00657;1.56;;;;0.01021;0.05363;0.00283
355;01LEP00659;1.47;;;;0.29141;0.09976;0.00492
356;01LEP00661;1.42;;;;0.43954;0.12633;0.00675
357;01LEP00663;1.19;;;;0.29517;0.08863;0.00545
358;01LEP00665;1.49;;;;0.78578;0.08862;0.0115
359;01LEP00667;1.61;;;;0.22094;0.07403;0.00594
360;01LEP00669;1.58;;;;0.48551;0.0787;0.0101
361;01LEP00671;1.59;;;;0.5062;0.07559;0.00885
362;01LEP00673;1.51;;;;1.3761;0.1286;0.0232
363;01LEP00675;1.65;;;;0.46695;0.08392;0.00802
364;01LEP00677;1.65;;;;0.20047;0.06471;0.00502
365;01LEP00679;1.64;;;;0.58053;0.11756;0.011
366;01LEP00681;1.5;;;;0.78994;0.11196;0.0108
367;01LEP00683;1.59;;;;0.30006;0.07928;0.009
368;01LEP00685;1.62;;;;0.84572;0.12268;0.0146
369;01LEP00687;1.64;;;;0.23013;0.07614;0.00798
370;01LEP00689;1.61;;;;0.18681;0.05557;0.00705
371;01LEP00002;1.11;3.99;;;2.796;;
372;01LEP00005;1.19;3.37;;;2.305;;
373;01LEP00008;1.15;3.23;;;2.434;;
374;01LEP00011;1.04;3.92;;;2.885;;
375;01LEP00014;1.04;5.43;;;3.904;;
376;01LEP00017;0.94;6.26;;;4.044;;
377;01LEP00018;1;7.26;;;3.394;;
378;01LEP00023;1.32;0.69;;;1.241;;
379;01LEP00026;1.29;1.03;;;1.217;;
380;01LEP00029;1.28;1.1;;;1.209;;
381;01LEP00032;1.07;6.12;;;4.138;;
382;01LEP00035;1.1;0.83;;;0.9871;;
383;01LEP00038;;0.76;;;;;
384;01LEP00041;1.25;1.72;;;1.525;;
385;01LEP00044;0.9;4.88;;;3.486;;
386;01LEP00047;0.9;5.09;;;3.486;;
387;01LEP00050;1.06;4.26;;;2.486;;
388;01LEP00053;;5.09;;;3.245;;
389;01LEP00059;;10.66;;;;;
390;01LEP00062;;10.66;;;6.8639;0.29215;0.0348
391;01LEP00065;1.22;2.82;;;2.276;;
392;01LEP00068;;10.66;;;;;
393;01LEP00071;1.06;4.54;;;3.111;;
394;01LEP00074;1.08;4.82;;;3.735;;
395;01LEP00077;1.28;3.78;;;2.461;;
396;01LEP00080;1.27;4.13;;;2.786;;
397;01LEP00083;1.09;5.37;;;4.769;;
398;01LEP00086;1.05;7.91;;;4.888;;
399;01LEP00089;1.34;1.03;;;1.078;;
400;01LEP00092;1.24;1.1;;;1.371;;
401;01LEP00095;1.37;0.69;;;0.939;;
402;01LEP00098;1.05;5.43;;;3.425;;
403;01LEP00101;1.26;1.93;;;1.569;;
404;01LEP00104;1.08;6.05;;;3.246;;
405;01LEP00107;1.22;2.48;;;2.304;;
406;01LEP00110;1.32;1.72;;;1.465;;
407;01LEP00113;0.93;7.29;;;4.7731;0.31101;0.0236
408;01LEP00116;1.24;2.13;;;1.775;;
409;01LEP00119;1.18;2.55;;;2.609;;
410;01LEP00122;1.21;3.03;;;1.871;;
411;01LEP00125;1.52;1.03;;;1.11;;
412;01LEP00128;1.16;3.1;;;2.526;;
413;01LEP00131;1.38;1.86;;;1.669;;
414;01LEP00134;1.43;2.41;;;2.174;;
415;01LEP00137;0.96;2.13;;;1.556;;
416;01LEP00140;1.61;0.55;;;0.831;;
417;01LEP00143;;0.55;;;;;
418;01LEP00146;0.91;8.25;;;4.7546;0.2855;0.0287
419;01LEP00149;1.13;5.3;;;3.504;;
420;01LEP00152;1.05;1.99;;;1.637;;
421;01LEP00155;1.02;6.81;;;4.689;0.31359;0.0326
422;01LEP00158;1.09;7.22;;;4.2334;0.28749;0.0293
423;01LEP00161;0.99;7.91;;;5.4533;0.32144;0.0348
424;01LEP00164;1.09;2.82;;;1.978;;
425;01LEP00167;1.38;3.1;;;1.8331;0.15223;0.0138
426;01LEP00170;1.21;3.92;;;2.912;;
427;01LEP00173;1.05;8.53;;;5.248;;
428;01LEP00176;1.32;4.06;;;3.088;;
429;01LEP00179;1.38;3.51;;;2.649;;
430;01LEP00182;1.3;5.78;;;4.266;;
431;01LEP00003;1.23;;;;1.1434;0.14845;0.00975
432;01LEP00009;1.28;;;;0.91061;0.11545;0.0133
433;01LEP00012;;;;;;;
434;01LEP00015;;;;;;;
435;01LEP00018;1.12;;;;1.4163;0.16362;0.0163
436;01LEP00021;1.15;;;;0.83493;0.14145;0.00914
437;01LEP00024;1.29;;;;0.24522;0.10287;0.00527
438;01LEP00027;1.33;;;;1.0139;0.12093;0.0111
439;01LEP00030;1.41;;;;0.90769;0.12062;0.00785
440;01LEP00033;1.17;;;;0.8408;0.14536;0.0144
441;01LEP00036;1.01;;;;1.4635;0.14579;0.0175
442;01LEP00039;0;;;;;;
443;01LEP00042;1.26;;;;0.62372;0.12127;0.00697
444;01LEP00045;0.96;;;;2.7037;0.28413;0.0295
445;01LEP00048;0;;;;;;
446;01LEP00051;1.11;;;;1.8316;0.19691;0.0219
447;01LEP00054;1.31;;;;0.88716;0.09086;0.00828
448;01LEP00060;;;;;;;
449;01LEP00063;;;;;3.0682;0.18193;0.0214
450;01LEP00066;;;;;1.6725;0.17966;0.0148
451;01LEP00069;;;;;;;
452;01LEP00072;;;;;0.76629;0.09435;0.0149
453;01LEP00075;;;;;1.9804;0.12983;0.0174
454;01LEP00078;;;;;0.6358;0.08717;0.00832
455;01LEP00081;;;;;2.0751;0.17929;0.0144
456;01LEP00084;;;;;0.89584;0.10327;0.00902
457;01LEP00087;;;;;1.7385;0.09399;0.0159
458;01LEP00090;;;;;0.65786;0.04308;0.00559
459;01LEP00093;;;;;0.47899;0.04721;0.0107
460;01LEP00096;1.25;;;;0.09966;0.02079;0.00289
461;01LEP00099;1.39;;;;0.36702;0.0463;0.00591
462;01LEP00102;;;;;0.35013;0.04416;0.0053
463;01LEP00105;;;;;0.65964;0.05868;0.00706
464;01LEP00108;;;;;3.1851;0.14673;0.0174
465;01LEP00111;;;;;0.32581;0.04489;0.00476
466;01LEP00114;;;;;1.1148;0.15487;0.0105
467;01LEP00117;;;;;0.73419;0.06206;0.0139
468;01LEP00120;;;;;0.67581;0.06163;0.00781
469;01LEP00123;;;;;0.47496;0.06461;0.00974
470;01LEP00126;1.38;;;;0.49177;0.0401;0.00595
