IDEN;IDEN_2;DepthLow_cm;DepthHigh_cm;OM_WB_perc;OM_LOI_perc;C_active_perc;C_perc;S_perc;N_perc;pHCaCl2;pHWater;pHKCl;pHSMP;P_M3_mgPkg;K_M3_mgPkg;Ca_M3_mgPkg;Mg_M3_mgPkg;Mn_M3_mgPkg;Zn_M3_mgPkg;Cu_M3_mgPkg;Al_M3_mgPkg;Fe_M3_mgPkg;CEC_NH4OAc_meqP100g;CEC_bases_meqP100g;CEC_pHSMP;NO3Wet_mgPkg;NO3_mgPkg;NH4_mgPkg
403;01LEP00101;15;30;1.93;;;1.569;0.00073;0.0856;4.4;;;;24.36;36.7;236;25;;;;2054;;;;;;;
408;01LEP00116;15;30;2.13;;;1.775;0.00668;0.0759;4.4;;;;3.1;8.8;154;10;;;;2254;;;;;;;
945;14LEP01014;0;20;;;;2.735;0.02736;0.1643;4.4;;;;82.89;44.2;170.35;8.46;8.38;1.2;0.02;2122.42;133.52;;;;6.144;;
1191;14LEP01261;0;20;;;;1.865;0.01334;0.2014;4.4;;;;64.64;92;296.89;37.96;25.78;1.16;0.36;1237.78;202.65;;;;;;
391;01LEP00065;15;30;2.82;;;2.276;0.00227;0.09587;4.41;;;;10.52;29.3;380;26;;;;2219;;;;;;;
450;01LEP00066;30;60;;;;;;;4.41;;;;760;21.9;305;22;;;;2191;;;;;;;
484.05;01LEP00183;;;;;;;;;4.41;;;;810;18.8;144;13;;;;2755;;;;;;;
952;14LEP01021;0;20;;;;2.758;0.02521;0.1701;4.41;;;;91.33;31.34;186.07;28.75;10.54;1.56;0.06;1931.77;129.26;;;;5.366;;
1188;14LEP01258;0;20;;;;2.21;0.01731;0.2255;4.41;;;;81.51;70.21;616.65;57.94;51.67;1.43;1.43;642;187.42;;;;;;
2372;;;;;3.957;;2.575;0.03472;0.2036;4.41;4.75;;5.95;;73.1;197;9;;;;2084.5;;12.2;;;;;
137;06LEP00103;0;20;1.94;;;1.35;0.00489;0.1041;4.415;;;;35.29;101.07;628;102;19.47;3.55;3.41;1007.97;537.54;;;;;;
474;01LEP00138;30;60;;;;;;;4.42;;;;440;22.3;274;46;;;;2269;;;;;;;
948;14LEP01017;0;20;;;;3.342;0.03516;0.2186;4.42;;;;88.87;38.12;271.92;23.56;11.87;2.57;0.37;2202.09;184.84;;;;9.184;;
2242;1JGF00035;0;20;;;;3.503;0.02855;0.1867;4.42;;;;138.38;171.1;212.45;24.05;3.48;1.54;0.42;838.59;155.71;9.09;;;25.9901;;
198;01LEP00530;0;30;2.41;;;1.836;0.01432;0.1636;4.43;4.53;;5.95;224.4;282.6;1276;139.7;;;;1756.01;;15.66;;;;;
406;01LEP00110;15;30;1.72;;;1.465;0.00398;0.0786;4.43;;;;12.8;21.3;333;47;;;;867;;;;;;;
469;01LEP00123;30;60;;;;;;;4.43;;;;1010;7;73;6;;;;2405;;;;;;;
587;10LEP00137;0;20;;;;1.203;;;4.43;;;;141.42;;;;;;;723.92;350.78;;;;;;
769;14LEP00021;0;20;;;;1.545;0.05083;0.06968;4.43;4.22;;6.17;65.2;65.7;185.99;9.54;9.25;4.79;2.38;1620.41;121.89;8.314;17.58;13.15;;;
2334;;;;;1.396;;1.521;0.00579;0.1608;4.43;5.17;;6.42;;88.8;487.5;21;;;;1470.5;;6.9;;;;;
2793;16ML0001;;;;;;4.655;0.02;0.33;4.43;;;5.95;204.12;127.09;226.37;19.38;6.99;3.11;0.4;1856.87;240.44;20.5;;;;;
193;01LEP00520;0;30;1.31;;;1.596;0.00764;0.1284;4.44;4.55;;6.53;174.5;234.3;649;94.6;;;;1321.63;;;;;;;
1193;14LEP01263;0;20;;;;1.702;0.00702;0.1877;4.44;;;;42.77;80.04;273.21;37.8;24.29;0.76;0.32;1223.64;192.69;;;;;;
163;06LEP00213;;;;;;;;;4.45;;;;11;63.2;893.5;252;;;;1123.94;383;14.05;;;;;
372;01LEP00005;15;30;3.37;;;2.305;0.01016;0.1817;4.45;;;;12.27;189.3;1112;84;;;;1616;;;;;;;
573;10LEP00123;0;20;;;;2.918;;;4.45;;;;158.64;;;;;;;1291.88;199.36;;;;;;
761;14LEP00013;0;20;;;;2.02;0.06073;0.09336;4.45;4.2;;6.15;83.85;57.12;129.49;4.96;10.11;4.14;2.16;1585.17;135.74;15.299;16.04;12.99;;;
765;14LEP00017;0;20;;;;3.847;0.08379;0.2199;4.45;4.24;;6.08;73.75;120.55;214.61;13.71;14.47;5.96;2.77;1857.27;164.29;15.726;19.7;14.28;;;
946;14LEP01015;0;20;;;;1.809;0.00941;0.1274;4.45;;;;106.17;25.08;124.48;7.67;7.65;0.58;0.02;1818.1;117.58;;;;3.258;;
