IDEN,Prediction,SAND,SAND_IR,SEP,SD,RPD,RER
644,Set7_All features,1,1.11477140885007,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
645,Set7_All features,38.2784955582371,35.56839092791,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
651,Set7_All features,24.3940106674362,24.4034914820578,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
663,Set7_All features,55.8910602245222,54.5729335868499,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
702,Set7_All features,9.12271597597979,10.4345285220099,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
711,Set7_All features,15.8145483294866,14.9472343733674,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
719,Set7_All features,8.56900504877449,8.21546719722275,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
721,Set7_All features,17.1315452656578,5.16993072592621,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
746,Set7_All features,3.95261975344825,3.39448130907548,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
747,Set7_All features,0.999999999999996,1.37239635899279,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
761,Set7_All features,81.0631312468261,80.5121545842341,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
763,Set7_All features,88.3709636942056,88.2283619020793,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
782,Set7_All features,58.4501342891967,57.1531589366808,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
790,Set7_All features,54.8804135965862,53.6551300351046,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
796,Set7_All features,33.2912923016065,32.581340684473,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
804,Set7_All features,79.1888536572601,69.4530917004553,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
845,Set7_All features,83.2455424864848,84.1105932898301,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
851,Set7_All features,81.0615966435739,80.1202102323844,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
864,Set7_All features,82.4683237869377,82.1112995425456,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
932,Set7_All features,90.3128520088987,88.7267921489699,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
934,Set7_All features,90.0851154841566,89.8734707528023,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
1137,Set7_All features,75.1774995029333,63.043671032557,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
529,Set7_No feature,7.72778133545916,10.3462311196631,1.11563285064334,30.5653047433738,27.3972792444647,86.3181815215139
824,Set7_No feature,85.3872856506223,79.9370806241329,1.11563285064334,30.5653047433738,27.3972792444647,86.3181815215139
845,Set7_No feature,86.2934818281636,83.9447603917133,1.11563285064334,30.5653047433738,27.3972792444647,86.3181815215139
24,Set7_No feature,56.1714903545583,51.9313284910545,1.11563285064334,30.5653047433738,27.3972792444647,86.3181815215139
